"","lonL","lonR","latB","latT","smaller","avgAAUs","factor","sideSquares","avgAAUs.1"
"89",-3.72014187492977,-3.70833949990636,40.4113642729548,40.4158657863104,FALSE,5.42167903607011e-05,48,4,12.4
"90",-3.72014187492977,-3.70833949990636,40.4068627595992,40.4113642729548,FALSE,5.42616441757846e-05,48,4,12.45
"91",-3.72014187492977,-3.70833949990636,40.4023612462436,40.4068627595992,FALSE,5.40971685125733e-05,96,4,12.6
"92",-3.72014187492977,-3.70833949990636,40.397859732888,40.4023612462436,FALSE,5.34955365392714e-05,48,4,12.275
"93",-3.72014187492977,-3.70833949990636,40.3933582195324,40.397859732888,FALSE,5.3455905736927e-05,96,4,12.625
"94",-3.72014187492977,-3.70833949990636,40.3888567061768,40.3933582195324,FALSE,5.32924140420248e-05,96,4,12.775
"95",-3.72014187492977,-3.70833949990636,40.3843551928212,40.3888567061768,FALSE,5.31548781879286e-05,48,4,12.35
"96",-3.72014187492977,-3.70833949990636,40.38171,40.3843551928212,TRUE,3.12198193061476e-05,48,4,Inf
"97",-3.70833949990636,-3.69653712488295,40.4833884866444,40.48789,FALSE,5.31305742654857e-05,96,4,12.5
"98",-3.70833949990636,-3.69653712488295,40.4788869732888,40.4833884866444,FALSE,5.34136302953371e-05,96,4,12.325
"99",-3.70833949990636,-3.69653712488295,40.4743854599332,40.4788869732888,FALSE,5.39164903571334e-05,48,4,12.65
"100",-3.70833949990636,-3.69653712488295,40.4698839465776,40.4743854599332,FALSE,5.4028394159755e-05,48,4,12.55
"101",-3.70833949990636,-3.69653712488295,40.465382433222,40.4698839465776,FALSE,5.41314023567535e-05,96,4,12.8
"102",-3.70833949990636,-3.69653712488295,40.4608809198664,40.465382433222,FALSE,5.41970989081126e-05,48,4,12.6
"103",-3.70833949990636,-3.69653712488295,40.4563794065108,40.4608809198664,FALSE,5.42288700244961e-05,48,4,13.225
"104",-3.70833949990636,-3.69653712488295,40.4518778931552,40.4563794065108,FALSE,5.4559844001965e-05,96,4,13
"105",-3.70833949990636,-3.69653712488295,40.4473763797996,40.4518778931552,FALSE,5.50273257213091e-05,48,4,12.275
"106",-3.70833949990636,-3.69653712488295,40.442874866444,40.4473763797996,FALSE,5.50233360326005e-05,48,4,12.725
"107",-3.70833949990636,-3.69653712488295,40.4383733530884,40.442874866444,FALSE,5.46899311445911e-05,48,4,12.425
"108",-3.70833949990636,-3.69653712488295,40.4338718397328,40.4383733530884,FALSE,5.4265426429994e-05,48,4,12.425
"109",-3.70833949990636,-3.69653712488295,40.4293703263772,40.4338718397328,FALSE,5.46129518121821e-05,48,4,12.575
"110",-3.70833949990636,-3.69653712488295,40.4248688130216,40.4293703263772,FALSE,5.51352528783471e-05,48,4,12.425
"111",-3.70833949990636,-3.69653712488295,40.420367299666,40.4248688130216,FALSE,5.50378123044427e-05,96,4,12.825
"112",-3.70833949990636,-3.69653712488295,40.4158657863104,40.420367299666,FALSE,5.45597580933989e-05,48,4,12.3
"113",-3.70833949990636,-3.69653712488295,40.4113642729548,40.4158657863104,FALSE,5.43956969279617e-05,48,4,12.6
"114",-3.70833949990636,-3.69653712488295,40.4068627595992,40.4113642729548,FALSE,5.507168070501e-05,48,4,12.775
"115",-3.70833949990636,-3.69653712488295,40.4023612462436,40.4068627595992,FALSE,5.54585104720827e-05,48,4,12.2
"116",-3.70833949990636,-3.69653712488295,40.397859732888,40.4023612462436,FALSE,5.46462199614898e-05,48,4,12.35
"117",-3.70833949990636,-3.69653712488295,40.3933582195324,40.397859732888,FALSE,5.45528869447405e-05,48,4,12.25
"118",-3.70833949990636,-3.69653712488295,40.3888567061768,40.3933582195324,FALSE,5.43751828939756e-05,48,4,12.375
"119",-3.70833949990636,-3.69653712488295,40.3843551928212,40.3888567061768,FALSE,5.37704286309285e-05,48,4,12.125
"120",-3.70833949990636,-3.69653712488295,40.38171,40.3843551928212,TRUE,3.12935867684772e-05,48,4,Inf
"121",-3.69653712488295,-3.68473474985953,40.4833884866444,40.48789,FALSE,5.31481111236987e-05,96,4,12.5
"122",-3.69653712488295,-3.68473474985953,40.4788869732888,40.4833884866444,FALSE,5.33443766296187e-05,48,4,12.9
"123",-3.69653712488295,-3.68473474985953,40.4743854599332,40.4788869732888,FALSE,5.39939669899883e-05,48,4,12.625
"124",-3.69653712488295,-3.68473474985953,40.4698839465776,40.4743854599332,FALSE,5.4126891891446e-05,48,4,12.625
"125",-3.69653712488295,-3.68473474985953,40.465382433222,40.4698839465776,FALSE,5.41607729602082e-05,48,4,12.8
"126",-3.69653712488295,-3.68473474985953,40.4608809198664,40.465382433222,FALSE,5.41758085520952e-05,48,4,12.4
