radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
UMTS,214,3,1156,7228428,0,-3.75293,40.272446,1000,10,1,1458824487,1490238437,0
UMTS,214,3,1156,7243790,0,-3.740845,40.275192,1000,2,1,1458824490,1489894745,0
UMTS,214,3,1156,7492928,0,-3.763757,40.259022,1811,25,1,1458824492,1506317713,0
LTE,214,3,1156,7497694,0,-3.763823,40.263666,6887,131,1,1458824492,1505883250,0
UMTS,214,3,1156,7499733,0,-3.741989,40.275192,1000,3,1,1458824493,1484763151,0
UMTS,214,3,1156,7503706,0,-3.740158,40.253906,1000,2,1,1458824493,1476756245,0
UMTS,214,3,1156,7503973,0,-3.760757,40.263814,1000,7,1,1458824493,1487017974,0
UMTS,214,3,1158,7493273,0,-3.7593841552734,40.262832641602,1000,1,1,1458824496,1430882718,0
UMTS,214,3,1158,7497693,0,-3.7580108642578,40.264205932617,1000,1,1,1458824497,1435379368,0
UMTS,214,3,1156,7228215,0,-3.7648773193359,40.275192260742,1000,1,1,1458824487,1451558296,0
UMTS,214,3,1156,7237464,0,-3.7497711181641,40.271072387695,1000,2,1,1458824489,1474456132,0
UMTS,214,3,1156,7493277,0,-3.768997,40.255966,1000,2,1,1458824492,1475660178,0
UMTS,214,3,1156,7503516,0,-3.76503,40.254898,1000,9,1,1458824493,1490238437,0
UMTS,214,3,1156,8570425,0,-3.7635040283203,40.271072387695,1000,1,1,1458824494,1430108889,0
UMTS,214,3,1158,7230290,0,-3.7497711181641,40.271072387695,1000,1,1,1458824494,1439550010,0
UMTS,214,3,1158,7497695,0,-3.7593841552734,40.26969909668,1000,1,1,1458824497,1430108889,0
UMTS,214,3,1158,7497694,0,-3.7607574462891,40.261459350586,1000,1,1,1458824497,1435379368,0
UMTS,214,3,1156,7235768,0,-3.753376,40.272102,1000,8,1,1458824488,1490238437,0
UMTS,214,3,1156,7497693,0,-3.756143,40.268399,1000,7,1,1458824492,1506317596,0
