radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,214,7,2836,1692,0,-3.70757,40.408058,1000,196,1,1343337233,1491110761,0
GSM,214,7,2820,1336,0,-3.710175,40.407081,1000,78,1,1343337233,1487620356,0
GSM,214,7,2820,1332,0,-3.710071,40.406975,1000,77,1,1343337233,1487469591,0
GSM,214,7,2820,1333,0,-3.709851,40.406934,1000,87,1,1343337233,1487469591,0
GSM,214,7,2820,1334,0,-3.708614,40.406454,1000,98,1,1343337233,1488036761,0
GSM,214,7,2836,3633,0,-3.708176,40.408692,1000,52,1,1343337238,1479811918,0
GSM,214,7,2820,3511,0,-3.71011,40.400052,1000,25,1,1343337243,1489318643,0
GSM,214,7,2820,3633,0,-3.7113189697266,40.407028198242,1000,10,1,1343337248,1252216654,0
GSM,214,7,2836,1334,0,-3.7113189697266,40.407028198242,1000,1,1,1343337248,1252216564,0
GSM,214,7,2816,6903,0,-3.703639,40.421448,1305,108,1,1343344186,1490205429,0
GSM,214,7,2816,2043,0,-3.709946,40.422478,1000,4,1,1343344187,1252220410,0
GSM,214,7,2816,401,0,-3.708448,40.421635,1000,11,1,1343344187,1482813615,0
GSM,214,7,2836,871,0,-3.70446,40.419227,500,160,1,1343344187,1493831175,0
GSM,214,7,2816,81,0,-3.7085723876953,40.420761108398,1000,3,1,1343344187,1252220258,0
GSM,214,7,2819,401,0,-3.7085723876953,40.420761108398,1000,4,1,1343344187,1252220278,0
GSM,214,7,2816,562,0,-3.709442,40.42424,1000,30,1,1343344187,1491674015,0
GSM,214,7,2819,1024,0,-3.708283,40.420038,1000,38,1,1343344187,1490508355,0
GSM,214,7,2819,5081,0,-3.707617,40.420403,1000,23,1,1343344187,1255015597,0
GSM,214,7,2836,3631,0,-3.708845,40.41264,1000,116,1,1343344187,1491310483,0
GSM,214,7,2819,82,0,-3.708858,40.418166,864,140,1,1343344187,1493885402,0
GSM,214,7,2819,85,0,-3.706962,40.419412,1000,58,1,1343344187,1487877857,0
GSM,214,7,2816,84,0,-3.705139,40.419388,1000,2,1,1343344187,1384246478,0
GSM,214,7,2819,83,0,-3.71337,40.419083,1000,225,1,1343344187,1492266790,0
GSM,214,7,2836,1092,0,-3.705089,40.416309,1000,95,1,1343344187,1255104954,0
GSM,214,7,2836,85,0,-3.70818,40.420369,1000,7,1,1343344187,1252220440,0
GSM,214,7,2836,1192,0,-3.702548,40.414407,1000,217,1,1343348415,1491479331,0
GSM,214,7,2836,873,0,-3.705003,40.416796,1000,177,1,1343348415,1490205429,0
GSM,214,7,2836,1191,0,-3.703184,40.416752,1000,249,1,1343348415,1490893939,0
GSM,214,7,2836,1196,0,-3.704719,40.414235,1000,129,1,1343348415,1487246820,0
GSM,214,7,2836,872,0,-3.702896,40.417045,1000,323,1,1343348415,1491310483,0
GSM,214,7,2836,2445,0,-3.703884,40.416523,1000,58,1,1343348415,1255105114,0
GSM,214,7,2836,1095,0,-3.704123,40.416531,1000,25,1,1343348415,1255104572,0
GSM,214,7,2836,1193,0,-3.705232,40.414337,1000,118,1,1343348415,1491310483,0
GSM,214,7,2836,1195,0,-3.70237,40.414149,1000,124,1,1343348415,1487789822,0
GSM,214,7,2836,1194,0,-3.703401,40.417721,1000,145,1,1343348415,1487877821,0
GSM,214,7,2836,3801,0,-3.703113,40.414715,1000,82,1,1343348415,1490335042,0
GSM,214,7,2819,1191,0,-3.7044525146484,40.41389465332,1000,1,1,1343348425,1254915817,0
GSM,214,7,2836,3643,0,-3.702131,40.41557,1000,255,1,1343348425,1491905358,0
GSM,214,3,1003,20409,0,-3.68351,40.437756,1000,8,1,1343354761,1248320146,0
GSM,214,3,1003,1451,0,-3.68454,40.436554,1000,8,1,1343354761,1248320316,0
GSM,214,3,1003,1454,0,-3.685391,40.436142,1000,25,1,1343354761,1248320316,0
GSM,214,3,1003,1447,0,-3.685476,40.436117,1000,22,1,1343354761,1248320306,0
GSM,214,3,1003,1450,0,-3.683166,40.437698,1000,6,1,1343354761,1248320136,0
GSM,214,3,1003,1448,0,-3.679011,40.438036,1000,19,1,1343354761,1248320126,0
GSM,214,3,1003,40724,0,-3.683243,40.437698,1000,9,1,1343354761,1248320146,0
